Notebooks,Status
gctw01A-GPU,Yes
gctw01B-GPU,Yes
gctw01C-GPU,Yes
gctw01D-GPU,Yes
gctw01E,No
gctw01F,No
gctw01G,No
gctw01H,No
gctw01I,No
gctw02A-GPU,Yes
gctw02B-GPU,Yes
gctw02C-GPU,Yes
gctw02D-GPU,Yes
gctw02E,No
gctw02F,No
gctw02G,No
gctw02H,No
gctw02I,No
gctw03A-GPU,Yes
gctw03B-GPU,Yes
gctw03C-GPU,Yes
gctw03D-GPU,Yes
gctw03E,No
gctw03F,No
gctw03G,No
gctw03H,No
gctw03I,No
gctw04A-GPU,Yes
gctw04B-GPU,Yes
gctw04C-GPU,Yes
gctw04D-GPU,Yes
gctw04E,No
gctw04F,No
gctw04G,No
gctw04H,No
gctw04I,No
gctw05A-GPU,Yes
gctw05B-GPU,Yes
gctw05C-GPU,Yes
gctw05D-GPU,Yes
gctw05E,No
gctw05F,No
gctw05G,No
gctw05H,No
gctw05I,No
gctw06A-GPU,Yes
gctw06B-GPU,Yes
gctw06C-GPU,Yes
gctw06D-GPU,Yes
gctw06E,No
gctw06F,No
gctw06G,No
gctw06H,No
gctw06I,No
gctw07A-GPU,Yes
gctw07B-GPU,Yes
gctw07C-GPU,Yes
gctw07D-GPU,Yes
gctw07E,No
gctw07F,No
gctw07G,No
gctw07H,No
gctw07I,No
gctw08A-GPU,Yes
gctw08B-GPU,Yes
gctw08C-GPU,Yes
gctw08D-GPU,Yes
gctw08E,No
gctw08F,No
gctw08G,No
gctw08H,No
gctw08I,No
gctw09A-GPU,Yes
gctw09B-GPU,Yes
gctw09C-GPU,Yes
gctw09D-GPU,Yes
gctw09E,No
gctw09F,No
gctw09G,No
gctw09H,No
gctw09I,No
gctw10A-GPU,Yes
gctw10B-GPU,Yes
gctw10C-GPU,Yes
gctw10D-GPU,Yes
gctw10E,No
gctw10F,No
gctw10G,No
gctw10H,No
gctw10I,No
gctw11A-GPU,Yes
gctw11B-GPU,Yes
gctw11C-GPU,Yes
gctw11D-GPU,Yes
gctw11E,No
gctw11F,No
gctw11G,No
gctw11H,No
gctw11I,No
gctw12A-GPU,Yes
gctw12B-GPU,Yes
gctw12C-GPU,Yes
gctw12D-GPU,Yes
gctw12E,No
gctw12F,No
gctw12G,No
gctw12H,No
gctw12I,No
gctw13A-GPU,Yes
gctw13B-GPU,Yes
gctw13C-GPU,Yes
gctw13D-GPU,Yes
gctw13E,No
gctw13F,No
gctw13G,No
gctw13H,No
gctw13I,No
gctw14A-GPU,Yes
gctw14B-GPU,Yes
gctw14C-GPU,Yes
gctw14D-GPU,Yes
gctw14E,No
gctw14F,No
gctw14G,No
gctw14H,No
gctw14I,No
gctw15A-GPU,Yes
gctw15B-GPU,Yes
gctw15C-GPU,Yes
gctw15D-GPU,Yes
gctw15E,No
gctw15F,No
gctw15G,No
gctw15H,No
gctw15I,No
gctw16A-GPU,Yes
gctw16B-GPU,Yes
gctw16C-GPU,Yes
gctw16D-GPU,Yes
gctw16E,No
gctw16F,No
gctw16G,No
gctw16H,No
gctw16I,No
gctw17A-GPU,Yes
gctw17B-GPU,Yes
gctw17C-GPU,Yes
gctw17D-GPU,Yes
gctw17E,No
gctw17F,No
gctw17G,No
gctw17H,No
gctw17I,No
gctw18A-GPU,No
gctw18B-GPU,No
gctw18C-GPU,No
gctw18D-GPU,No
gctw18E,Yes
gctw18F,Yes
gctw18G,Yes
gctw18H,Yes
gctw18I,Yes
gctw19A-GPU,Yes
gctw19B-GPU,Yes
gctw19C-GPU,Yes
gctw19D-GPU,Yes
gctw19E,No
gctw19F,No
gctw19G,No
gctw19H,No
gctw19I,No
gctw20A-GPU,No
gctw20B-GPU,No
gctw20C-GPU,No
gctw20D-GPU,No
gctw20E,Yes
gctw20F,Yes
gctw20G,Yes
gctw20H,Yes
gctw20I,Yes
