Notebooks,Status
gctw01A-GPU,Yes
gctw01B-GPU,Yes
gctw01C-GPU,Yes
gctw01D-GPU,Yes
gctw01E,No
gctw01F,No
gctw01G,No
gctw01H,No
gctw01I,No
gctw02A-GPU,Yes
gctw02B-GPU,Yes
gctw02C-GPU,Yes
gctw02D-GPU,Yes
gctw02E,No
gctw02F,No
gctw02G,No
gctw02H,No
gctw02I,No
gctw03A-GPU,Yes
gctw03B-GPU,Yes
gctw03C-GPU,Yes
gctw03D-GPU,Yes
gctw03E,No
gctw03F,No
gctw03G,No
gctw03H,No
gctw03I,No
gctw04A-GPU,Yes
gctw04B-GPU,Yes
gctw04C-GPU,Yes
gctw04D-GPU,Yes
gctw04E,No
gctw04F,No
gctw04G,No
gctw04H,No
gctw04I,No
gctw05A-GPU,Yes
gctw05B-GPU,Yes
gctw05C-GPU,Yes
gctw05D-GPU,Yes
gctw05E,No
gctw05F,No
gctw05G,No
gctw05H,No
gctw05I,No
gctw06A-GPU,Yes
gctw06B-GPU,Yes
gctw06C-GPU,Yes
gctw06D-GPU,Yes
gctw06E,No
gctw06F,No
gctw06G,No
gctw06H,No
gctw06I,No
gctw07A-GPU,No
gctw07B-GPU,No
gctw07C-GPU,No
gctw07D-GPU,No
gctw07E,Yes
gctw07F,Yes
gctw07G,Yes
gctw07H,Yes
gctw07I,Yes
gctw08A-GPU,No
gctw08B-GPU,No
gctw08C-GPU,No
gctw08D-GPU,No
gctw08E,Yes
gctw08F,Yes
gctw08G,Yes
gctw08H,Yes
gctw08I,Yes
gctw09A-GPU,No
gctw09B-GPU,No
gctw09C-GPU,No
gctw09D-GPU,No
gctw09E,Yes
gctw09F,Yes
gctw09G,Yes
gctw09H,Yes
gctw09I,Yes
gctw10A-GPU,No
gctw10B-GPU,No
gctw10C-GPU,No
gctw10D-GPU,No
gctw10E,No
gctw10F,No
gctw10G,No
gctw10H,No
gctw10I,No
gctw11A-GPU,No
gctw11B-GPU,No
gctw11C-GPU,No
gctw11D-GPU,No
gctw11E,No
gctw11F,No
gctw11G,No
gctw11H,No
gctw11I,No
gctw12A-GPU,No
gctw12B-GPU,No
gctw12C-GPU,No
gctw12D-GPU,No
gctw12E,No
gctw12F,No
gctw12G,No
gctw12H,No
gctw12I,No
gctw13A-GPU,No
gctw13B-GPU,No
gctw13C-GPU,No
gctw13D-GPU,No
gctw13E,No
gctw13F,No
gctw13G,No
gctw13H,No
gctw13I,No
gctw14A-GPU,No
gctw14B-GPU,No
gctw14C-GPU,No
gctw14D-GPU,No
gctw14E,No
gctw14F,No
gctw14G,No
gctw14H,No
gctw14I,No
gctw15A-GPU,No
gctw15B-GPU,No
gctw15C-GPU,No
gctw15D-GPU,No
gctw15E,No
gctw15F,No
gctw15G,No
gctw15H,No
gctw15I,No
gctw16A-GPU,No
gctw16B-GPU,No
gctw16C-GPU,No
gctw16D-GPU,No
gctw16E,No
gctw16F,No
gctw16G,No
gctw16H,No
gctw16I,No
gctw17A-GPU,No
gctw17B-GPU,No
gctw17C-GPU,No
gctw17D-GPU,No
gctw17E,No
gctw17F,No
gctw17G,No
gctw17H,No
gctw17I,No
gctw18A-GPU,No
gctw18B-GPU,No
gctw18C-GPU,No
gctw18D-GPU,No
gctw18E,No
gctw18F,No
gctw18G,No
gctw18H,No
gctw18I,No
gctw19A-GPU,No
gctw19B-GPU,No
gctw19C-GPU,No
gctw19D-GPU,No
gctw19E,No
gctw19F,No
gctw19G,No
gctw19H,No
gctw19I,No
gctw20A-GPU,No
gctw20B-GPU,No
gctw20C-GPU,No
gctw20D-GPU,No
gctw20E,No
gctw20F,No
gctw20G,No
gctw20H,No
gctw20I,No
