Notebooks,Status
gctw01A-GPU,No
gctw01B-GPU,No
gctw01C-GPU,No
gctw01D-GPU,No
gctw01E,Yes
gctw01F,Yes
gctw01G,Yes
gctw01H,Yes
gctw01I,Yes
gctw02A-GPU,No
gctw02B-GPU,No
gctw02C-GPU,No
gctw02D-GPU,No
gctw02E,Yes
gctw02F,Yes
gctw02G,Yes
gctw02H,Yes
gctw02I,Yes
gctw03A-GPU,No
gctw03B-GPU,No
gctw03C-GPU,No
gctw03D-GPU,No
gctw03E,Yes
gctw03F,Yes
gctw03G,Yes
gctw03H,Yes
gctw03I,Yes
gctw04A-GPU,No
gctw04B-GPU,No
gctw04C-GPU,No
gctw04D-GPU,No
gctw04E,Yes
gctw04F,Yes
gctw04G,Yes
gctw04H,Yes
gctw04I,Yes
gctw05A-GPU,No
gctw05B-GPU,No
gctw05C-GPU,No
gctw05D-GPU,No
gctw05E,Yes
gctw05F,Yes
gctw05G,Yes
gctw05H,Yes
gctw05I,Yes
gctw06A-GPU,No
gctw06B-GPU,No
gctw06C-GPU,No
gctw06D-GPU,No
gctw06E,Yes
gctw06F,Yes
gctw06G,Yes
gctw06H,Yes
gctw06I,Yes
gctw07A-GPU,No
gctw07B-GPU,No
gctw07C-GPU,No
gctw07D-GPU,No
gctw07E,Yes
gctw07F,Yes
gctw07G,Yes
gctw07H,Yes
gctw07I,Yes
gctw08A-GPU,No
gctw08B-GPU,No
gctw08C-GPU,No
gctw08D-GPU,No
gctw08E,Yes
gctw08F,Yes
gctw08G,Yes
gctw08H,Yes
gctw08I,Yes
gctw09A-GPU,No
gctw09B-GPU,No
gctw09C-GPU,No
gctw09D-GPU,No
gctw09E,Yes
gctw09F,Yes
gctw09G,Yes
gctw09H,Yes
gctw09I,Yes
gctw10A-GPU,No
gctw10B-GPU,No
gctw10C-GPU,No
gctw10D-GPU,No
gctw10E,Yes
gctw10F,Yes
gctw10G,Yes
gctw10H,Yes
gctw10I,Yes
gctw11A-GPU,No
gctw11B-GPU,No
gctw11C-GPU,No
gctw11D-GPU,No
gctw11E,Yes
gctw11F,Yes
gctw11G,Yes
gctw11H,Yes
gctw11I,Yes
gctw12A-GPU,No
gctw12B-GPU,No
gctw12C-GPU,No
gctw12D-GPU,No
gctw12E,Yes
gctw12F,Yes
gctw12G,Yes
gctw12H,Yes
gctw12I,Yes
gctw13A-GPU,No
gctw13B-GPU,No
gctw13C-GPU,No
gctw13D-GPU,No
gctw13E,Yes
gctw13F,Yes
gctw13G,Yes
gctw13H,Yes
gctw13I,Yes
gctw14A-GPU,No
gctw14B-GPU,No
gctw14C-GPU,No
gctw14D-GPU,No
gctw14E,Yes
gctw14F,Yes
gctw14G,Yes
gctw14H,Yes
gctw14I,Yes
gctw15A-GPU,No
gctw15B-GPU,No
gctw15C-GPU,No
gctw15D-GPU,No
gctw15E,Yes
gctw15F,Yes
gctw15G,Yes
gctw15H,Yes
gctw15I,Yes
gctw16A-GPU,No
gctw16B-GPU,No
gctw16C-GPU,No
gctw16D-GPU,No
gctw16E,Yes
gctw16F,Yes
gctw16G,Yes
gctw16H,Yes
gctw16I,Yes
gctw17A-GPU,No
gctw17B-GPU,No
gctw17C-GPU,No
gctw17D-GPU,No
gctw17E,Yes
gctw17F,Yes
gctw17G,Yes
gctw17H,Yes
gctw17I,Yes
gctw18A-GPU,No
gctw18B-GPU,No
gctw18C-GPU,No
gctw18D-GPU,No
gctw18E,Yes
gctw18F,Yes
gctw18G,Yes
gctw18H,Yes
gctw18I,Yes
gctw19A-GPU,No
gctw19B-GPU,No
gctw19C-GPU,No
gctw19D-GPU,No
gctw19E,Yes
gctw19F,Yes
gctw19G,Yes
gctw19H,Yes
gctw19I,Yes
gctw20A-GPU,No
gctw20B-GPU,No
gctw20C-GPU,No
gctw20D-GPU,No
gctw20E,Yes
gctw20F,Yes
gctw20G,Yes
gctw20H,Yes
gctw20I,Yes
gctw21A-GPU,No
gctw21B-GPU,No
gctw21C-GPU,No
gctw21D-GPU,No
gctw21E,Yes
gctw21F,Yes
gctw21G,Yes
gctw21H,Yes
gctw21I,Yes
gctw22A-GPU,No
gctw22B-GPU,No
gctw22C-GPU,No
gctw22D-GPU,No
gctw22E,Yes
gctw22F,Yes
gctw22G,Yes
gctw22H,Yes
gctw22I,Yes
gctw23A-GPU,No
gctw23B-GPU,No
gctw23C-GPU,No
gctw23D-GPU,No
gctw23E,Yes
gctw23F,Yes
gctw23G,Yes
gctw23H,Yes
gctw23I,Yes
gctw24A-GPU,No
gctw24B-GPU,No
gctw24C-GPU,No
gctw24D-GPU,No
gctw24E,Yes
gctw24F,Yes
gctw24G,Yes
gctw24H,Yes
gctw24I,Yes
gctw25A-GPU,No
gctw25B-GPU,No
gctw25C-GPU,No
gctw25D-GPU,No
gctw25E,Yes
gctw25F,Yes
gctw25G,Yes
gctw25H,Yes
gctw25I,Yes
gctw26A-GPU,No
gctw26B-GPU,No
gctw26C-GPU,No
gctw26D-GPU,No
gctw26E,Yes
gctw26F,Yes
gctw26G,Yes
gctw26H,Yes
gctw26I,Yes
gctw27A-GPU,No
gctw27B-GPU,No
gctw27C-GPU,No
gctw27D-GPU,No
gctw27E,Yes
gctw27F,Yes
gctw27G,Yes
gctw27H,Yes
gctw27I,Yes
